institution,country
1,2
2,1
3,1
4,42
4,37
4,3
4,20
4,27
4,31
4,44
4,52
4,56
4,57
4,16
4,17
4,58
4,32
4,59
4,3
4,24
4,53
4,44
4,55
4,35
4,27
4,43
4,18
4,20
5,19
6,31
7,11
8,12
